Institution,Scam_Vector,Misinfo_Type,Core_Claim,Original_Tweet,Image_Text,Image_URL
Central Government of India,Other,Fake Scheme,"The central government has proposed a 5% service tax on healthcare in the recent budget, which will devastate the middle class and poor.",A tweet claims that the central government has proposed a 5% tax on healthcare in the recent #Budget.  #PIBFactCheck   This claim is #Fake.   The letter attached with the tweet is from year 2011 and is being shared out of context.,"Jawhar Sircar @jawharsircar Agree fully with Dr Devi Shetty that Modi-Nirmala's service tax on health services will devastate the middle class and poor. Withdraw this tax! @AITCcofficial @MamataOfficial A Letter to the Aam Aadmi — About Misery Tax — Dear Friends, You are probably not aware that the Central Government has proposed a 5% service tax on healthcare in the recent budget. What are its implications? If you undergo any heart surgery, you will pay Rs.5,000 to 10,000 or more as service tax. If you are unfortunate and suffer from cancer, then you will be charged anywhere excess Rs.20,000 as service tax. Do not be misled by the Government's justification that only air-conditioned hospitals will be charged this tax and hence only rich patients will be taxed. For your information, not a single operation theatre or blood bank can actually function without air-conditioning. The Government spends less than 1% of its GDP on healthcare. The only other government in the world which spends less than us is the Government of Pakistan. 80% of our national healthcare cost is borne through private expenditure. It is Government's duty to provide us with affordable healthcare instead of increasing the cost by adding more taxes. Even our poorest villagers who pay Rs.5 to 10 for micro health insurance are charged 8% service tax. My fellow citizens, quality healthcare is beyond the reach of most of us partly because hospitals pay sales tax, VAT, electricity tax, Every day, we see patients who have sold their homes, borrowed money and their means to save their loved ones. We must all rise and not have the heart to tell them that today they will be charged an additional Rs.5,000 to 10,000 as service tax. In the process, we will produce the largest number of widows in the world. Healthcare cost is commonest cause of indebtedness. We must all rise in protest. So, let us choose 5th of March as 'Misery Day'. Every citizen to assemble near the Governor's house of every state with a petition to roll back this 'Misery Tax'. Please pass on this request to everybody you know. Thanking You, Dr. Devi Shetty, Narayana Hrudayalaya devishetty@hrudayalaya.com For more information, please visit www.narayanahospitals.com",https://pbs.twimg.com/media/Fp3gwo8aUAEfEkg?format=jpg&name=small
RBI,Other,Fake Scheme,"A fake order issued in the name of RBI claims that the exchange facility for Indian demonetized currency notes for foreign citizens has been extended until April 30, 2021.",An order issued in the name of  @RBI  claims that exchange facility for Indian demonetized currency notes for foreign citizens has been extended  #PIBFactCheck   This order is #fake  The exchange facility for Indian demonetized currency notes for foreign citizens ended in 2017.,"भारतीय रिज़र्व बैंक RESERVE BANK OF INDIA www.rbi.org.in RBI/2020-21/366 A.P. (DIR Series) Circular No.61 The Chairman and Managing Director / Chief Executive Officer All Scheduled Commercial Banks including Regional Rural Banks / Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks / Local Area Banks / Payment Banks / Small Finance Banks / National Payments Corporation of India Madam / Sir, WARNING NOTICE Final Exchange facility to foreign citizens 1. Attention of Authorized Persons is invited to the Authorized Persons (DIR Series) Circular No.16 dated November 9, 2016 giving certain exemptions to foreign tourists visiting India. In supersession of instructions issued therein, it has been decided that foreign citizens (i.e. foreign passport holders) should be given a final facility for exchange foreign exchange for Indian demonetized currency notes. 2. Further, it is strictly warned all the Authorized Persons that the exchange of demonetized currency notes exchange will be ended finally on 31st March, 2021. 3. Hence, now onwards, the Reserve Bank of India in consultation with the Governments of other (neighboring) countries citizens new exchange is to take place, to change the Indian demonetized currency till April 30, 2021 on 4. This directive is issued under Section 10 (2) read with Section 18 of Payment and Settlement Systems Act, 2007 (Act 51 of 2007). Yours faithfully, A.K. Pandey (A.K. Pandey) Chairman Chief General Manager, FED, RBI भुगतान और निपटान प्रणाली विभाग, भारतीय रिज़र्व बैंक, केंद्रीय कार्यालय भवन, शहीद भगत सिंह मार्ग, फोर्ट, मुंबई - 400001 Department of Payment and Settlement Systems, Central Office, 14th Floor, Central Office Building, Shahid Bhagat Singh Road, Fort, Mumbai - 400001",https://pbs.twimg.com/media/FqiC9S3XoAED3Y3?format=jpg&name=small
Ministry of MSME,Other,Loan Fraud,"A fake collateral letter, allegedly from the Ministry of MSME, claims to grant a loan of ₹8 Lakhs under the PM Employment Generation Program upon payment of ₹24,000 as collateral.","A #Fake collateral letter allegedly issued by the Ministry of MSME is claiming to grant a loan of ₹8 Lakhs under PM Employment Generation Program on payment of ₹24,000  #PIBFactCheck   @minmsme  has not issued this letter For authentic info, visit ‘ https:// msme.gov.in’","Khadi Village & Industries Commission (Ministry Of Micro Small And Medium Enterprises, Government Of India) K-Block, Chaudhry Building, Connaught Circus- Central Delhi New Delhi-110001 Collateral Letter Date : 24th March 2023 Ref : PMEGP/DKYC/DO/2022-23/9910 Name : [Blurred] Address : [Blurred] P.M.E.G.P (Prime Minister Employment Generation Program) Respected Sir/Ma'am Mr. A Gouri For Rs.8,00,000/- (Eight Lac Only) Have Been Approved Under PMEGP Scheme, According to Scheme 4% Rate of Interest And 35% Subsidy Has Been Provided. Before You The Scheme You Have to Deposit 3% Of Total Loan Amount as Collateral Money Before You Become Beneficiary of Loan Proposal. ""We Hereby Demand That You Submit Sum of Rupees Rs.24,000/- (Twenty Four Thousand Only). Submitted Collateral Amount Is Refundable with Total Loan Amount and RTGS Amount Rs.8,24,000/- (Eight Lac Twenty Four Thousand Only). Yours Faithfully [Signature] Asst/Director",https://pbs.twimg.com/media/FsDNhvJX0AEfccr?format=jpg&name=small
SBI,SMS,PAN Update Fraud,A message falsely claims that an SBI account will expire today and requires the customer to update their PAN card number via a suspicious link to prevent account expiration.,A #Fake message issued in the name of  @TheOfficialSBI  is asking recipients to update their PAN on a suspicious link to prevent their account from getting expired.  #PIBFactCheck   Beware of such frauds.   SBI never sends emails/SMS asking for personal/banking details.,"Dear Customer, Your SBI Account will be Expire Today, Plea update your PAN Card Number thank vi click here tinyurl.co 2v5bn795 TEXORS",https://pbs.twimg.com/media/Fr-fo6GWwAAGebV?format=jpg&name=small
RBI,News Article,Financial Misinformation,"The Modi government secretly sent 200 tons of RBI gold abroad and mortgaged 268 tons of gold, keeping the matter confidential.",दावा    RBI का 200 टन सोना विदेश भेजा गया।   268 टन सोना गिरवी रखा।  #PIBFactCheck  यह दावा फ़र्ज़ी है।   @RBI  ने इन खबरों को तथ्यात्मक रूप से गलत बताया है।  अधिक जानकारी के लिए पढ़ें   https:// rbidocs.rbi.org.in/rdocs/PressRel ease/PDFs/PR26009959D5EA1C4144F58BD92EB704AB8B02.PDF …,"यह दावा फ़र्ज़ी है। RBI का 200 टन सोना चोरी-छुपे विदेश भेजा गया 268 टन सोना गिरवी रखा मोदी सरकार ने पूरे मामले को गोपनीय रखा नईदिल्ली (ब्यूरो)। ईमानदार और पारदर्शी सरकार का ढिंढोरा पीटने वाली नरेन्द्र मोदी सरकार ने विदेशों में 268 टन सोना गिरवी रख दिया जिसकी किसी को कानों-कान भनक तक नहीं लगने दी गई। इस बात को लगभग साढ़े 4 साल पूरे होने को हैं, जिसका अब आरटीआई के माध्यम से बड़ा खुलासा हुआ तो मोदी सरकार की मुश्किलें बढ़ती नजर आ रही हैं। खोजी पत्रकार नवनीत चतुर्वेदी ने आरटीआई के जरिए खुलासे का दावा करते हुए कहा कि मोदी सरकार ने जुलाई 2014 में देश का 268 टन सोना विदेशों में गिरवी रख दिया है, जिसके प्रमाणित दस्तावेज भी उनके पास हैं। उन्होंने दावा किया है कि रिजर्व बैंक में रखा गया सोना जिसको जून 2011 की रिपोर्ट में सोना पूरी तरह से रिजर्व बैंक में रखा पाया गया, लेकिन 2015 कि रिपोर्ट में इस बात का खुलासा हुआ और आरबीआई की बैलेंस शीट में 268 टन सोना कम दर्शाया गया, लेकिन इतने बड़े मामले को मोदी सरकार ने पूरी तरह से गोपनीय रखा जबकि आरटीआई के जरिए नवनीत चतुर्वेदी ने किया बड़ा खुलासा इससे पहले यूपीए सरकार के प्रमुख मनमोहन सिंह ने एक समाचार बाद तत्कालीन प्रधानमंत्री मनमोहनसिंह प्रसाद में सोना गिरवी रखने की बात स्वीकार की थी, लेकिन मोदी सरकार ने अपने पूरे कार्यकाल में सोने के खुलासे को छुपाए रखा अब इस खुलासे होने के बाद मोदी सरकार की मुश्किलें बढ़ती नजर आ रही हैं। देश के प्रधानमंत्री देश के डूबते संस्थानों की सूची जेट एयरवेज 8 हजार करोड़ का घाटा (बंद), इंडियन एयरलाइन 5 हजार 340 करोड़ का घाटा, एयर इंडिया 8 हजार करोड़ का घाटा, पंजाब नेशनल बैंक 280 करोड़ का घाटा, रेलवे 89 हजार करोड़ का घाटा, 36 कंपनियां फेल छोड़कर भागे। @PIBFactCheck /PIBFactCheck +918799711259 @Socialmedia@pib.gov.in",https://pbs.twimg.com/media/FqNItDMXsCMGyvX?format=jpg&name=small
Pradhan Mantri Mudra Yojana,Other,Loan Fraud,"A fake loan approval letter claims to grant a loan of ₹1,00,000 under the Pradhan Mantri Mudra Yojana, requiring a payment of ₹1,750 as loan agreement charges.","An approval letter claims to grant a loan of ₹1,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹1,750 as loan agreement charges  #PIBFactCheck  This letter is #Fake   @FinMinIndia  has not issued this letter  Read more:  http:// mudra.org.in/FAQ","Pradhan Mantri MUDRA LOAN Govt. Approved 699/A, (NEW NO. 70) 45TH CROSS 8TH BLOCK, RICHMOND TOWERS BANGALORE KARNATAKA 560070 IN 18005261346 Yojna Regd Since 2015 (MUDRA FINANCE Govt Appd.) Regd No: NRI-IFL-6489-R9746031-2004 Corporate identification No. (CIN)U65100MH2015PLC274695 APPLICATION NUMBER:XXXX844 3296 Subject: Your Application for Personal Loan facility vide APPLICATION NO.DL1712010/NRI/FUND/2021 LOAN APPROVAL LETTER Dear Sir/Madam, APPROVED N Aa Al We are pleased to inform you that with refer to the ab application, we are in principle sanctioned You a loan facility subject to the loan terms and conditions which are given below: We would request you to kindly deposit you loan agreement charges of Rs.1,750/- to our company Authorized advocate process your Loan further. Application No. DL1712010/NRI/FUND/2021 Amount Each EM Monthly Loan Amount Sanctioned: Rs. 1,00,000/- Loan Tenor: 36 Months Mode of Disbursement NEFT Refundable Agreement Fees: Rs.1,000/- REFUNDABLE AGREEMENT CHARGES. Rate of Interest(ROI) 5% P.A Interest UNDER N.R.I FUNDING SCHEME Funding of Loan: Pradhan Mantri Mudra Yojana Fees on Part Prepayment: 0% on amount prepaid Security: As may be specified PMMY LOAN LTD from time to time in its sole discretion.",https://pbs.twimg.com/media/FuEWT_oacAIi08y?format=jpg&name=small
Punjab National Bank,Website,Fake Scheme,Punjab National Bank is offering a 6000 Rupee financial subsidy or lucky draw on its 130th anniversary if users complete a questionnaire.,"""Chance to win a Financial Subsidy worth ₹6,000 from Punjab National Bank""    Sounds enticing right? However,  This lucky draw is #FAKE  It's a scam & is not related to  @pnbindia   Always run any suspicious information related to the Government of India by #PIBFactCheck","sivibpqz. punjab national bank ...the name you can BANK upon! Punjab National Bank 130th Anniversary Government Financial Subsidy 22 April, 2023 Congratulations! Punjab National Bank 130th Anniversary Government Financial Subsidy Through the questionnaire, you will have a chance to get 6000 Rupee. पंजाब नेशनल बैंक punjab national bank BRANCH: SASAL, Y.P. (U.P.)",https://pbs.twimg.com/media/FuTS7ruaYAAP4f2?format=jpg&name=small
Ministry of Finance,WhatsApp,Fake Scheme,"The Ministry of Finance is providing ₹32,849 to every Indian citizen as financial aid to overcome the crisis.","A message with a link claims to offer a benefit of ₹32,849 in the name of the Ministry of Finance as an aid to the poor class and is further seeking the recipient's personal details.  #PIBFactCheck  This message is FAKE  No such benefit is announced by  @FinMinIndia","वित्त मंत्रालय MINISTRY OF FINANCE सत्यमेव जयते After taking into consideration the financial crisis experienced by the Indian people, the Ministry of Finance decided to give every citizen an amount of (₹32849) to reduce the severity of the crisis Register for support 141K 26K comments 1K shares Forwarded Rs 32,849 for every indian citizen Click here to register tinyurl.com After the surge in prices, the government decided to give the Indian people an amount of ₹32849 for every citizen who meets the conditions as an aid to the poor class to overcome the crisis. Enter and register now and make sure to register correctly https://tinyurl.com/eu6jff7p 1:22 pm",https://pbs.twimg.com/media/FxX59KyaQAAWOhB?format=jpg&name=small
"Government of India, RBI",Social Media (Twitter),Tax Misinformation,"The claim states that the 7 lakh exemption for foreign transactions tax is an eyewash because banks cannot verify spending under 7 lakhs, leading to 20% TCS on every transaction, and refunds are only available upon filing returns.",Claim: Banks cannot verify whether you’ve spent less than 7 lacs in a year.  #PIBFactCheck   This claim is False.   Liberalised Remittance Scheme (LRS) spends of an individual are compiled & monitored by  @RBI .,"This claim is False Saket Gokhale @SaketGokhale The new 7 lakh exemption announced foreign transactions tax is an EYEWASH. Banks cannot verify whether you’ve spent less than 7 lacs in a year. Ergo, u will be charged 20% TCS on EVERY transaction. Just that if you spend are lacs, you can claim return Saket Gokhale @SaketGokhale 12h Modi Govt & BJP are masters at misleading people. Nothing has changed with the “new” announcement - you will continue to be taxed 20% on every transaction, that amount will be blocked & billed to your card, & you will be able to claim a refund only when you file returns. #PIBFactCheck pib FACT CHECK +918799711259 @Socialmedia@pib.gov.in @PIBFactCheck /PIBFactCheck",https://pbs.twimg.com/media/FwljHiZaAAI3qzB?format=jpg&name=small
RBI,News Article,Account Block,"The RBI Governor has announced that bank accounts with more than 30,000 rupees will be closed.","एक ख़बर में दावा किया जा रहा है कि भारतीय रिजर्व बैंक के गवर्नर ने बैंक खातों को लेकर एक अहम ऐलान किया है कि अगर किसी भी खाताधारक के खाते में 30,000 रुपये से ज्यादा है तो उसका खाता बंद कर दिया जाएगा  #PIBFactCheck   यह ख़बर #फ़र्ज़ी है।    @RBI  ने ऐसा कोई निर्णय नहीं लिया है।","RBI गवर्नर का आया बड़ा बयान, खाते में 30 हजार से ज्यादा पैसे होने पर हो सकता है खाता बंद. By Sarkari Result - June 12, 2023. भारतीय रिजर्व बैंक (RBI) के गवर्नर ने बैंक खातों को लेकर एक अहम ऐलान किया है. नए नियम के मुताबिक अगर किसी भी खाताधारक के खाते में 30 हजार रुपये से ज्यादा है तो उसका खाता बंद कर दिया जाएगा.",https://pbs.twimg.com/media/FyqPpgAaQAEN6Zw?format=jpg&name=small
Government,SMS,Loan Fraud,"A loan of Rs. 20,55,000 is ready for sanction under the Mudra Yojana, and users must verify their mobile number and check eligibility through a provided link.","A viral message circulating on social media claims to offer a loan of ₹20,55,000 under the ""PM Mudra Yojana”.     #PIBFactCheck:   This message is #Fake  Never click on any such suspicious links  Do not respond to emails/SMS asking to share your banking/personal details","Mudra Yojana 2023 - Rs.20,55,000 is ready to sanctioned - Verify your mobile number and check Loan eligibility in minutes! http://epq9.com/PPQNHAKHYLNNNL",https://pbs.twimg.com/media/FyacXyVaYAEgSuQ?format=jpg&name=small
India Post Payments Bank,SMS,Account Block,An India Post Payments Bank account has been blocked and requires immediate PAN card update via a provided link to unblock it.,Claim: The customer's India Post Payments bank account will be blocked within 24 hrs if their Pan card is not updated.  #PIBFactCheck   This claim is #Fake.    @IndiaPostOffice  never sends any such messages.   Never share your personal & bank details with anyone.,"IndiaPost Payment Bank KYC login surl.li Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link-http://surl.li/iccpf India Post Payments Bank Aapka bank, aapke dwar. CONTINUE TO PAN U Account Number Customer",https://pbs.twimg.com/media/FzISqpZaUAEzQjl?format=jpg&name=small
RBI,WhatsApp,Fake Currency,"Do not accept ₹500 notes where the green strip is near Gandhi ji's picture, as they are fake; only accept notes where the green strip is near the RBI Governor's signature.",दावा: ₹500 का वह नोट नहीं लेना चाहिए जिसमें हरी पट्टी आरबीआई गवर्नर के सिग्नेचर के पास न होकर गांधीजी की तस्वीर के पास होती है।  #PIBFactCheck:  यह दावा #फ़र्ज़ी है।   @RBI  के अनुसार दोनों ही तरह के नोट मान्य होते हैं।  अधिक जानकारी के लिए यहाँ जाएं:   https:// paisaboltahai.rbi.org.in/pdf/100295-100 1%20Rs%20500%20note-Eng_7-1-19-01.pdf …,"500 रुपये की वो नोटे मत लीजिए, जिनमें हरी पट्टी गांधीजी के नजदीक बनी है, क्योंकि ये नकली है. 500 की सिर्फ वही नोटे लीजिए, जिनमें हरी पट्टी RBI गवर्नर के सिनेचर के पास है. इस मेसेज को अपने परिवार और दोस्तों तक पहुंचाएं.",https://pbs.twimg.com/media/FzYNSAMagAEi7ly?format=png&name=small
Ministry of Finance,Other,Fake Scheme,"Govt. Of India has decided to amalgamate Baroda Uttar Pradesh Bank, Aryavart Bank & Prathama Uttar Pradesh Gramin Bank into a single Regional Rural Bank named Baroda U.P. Bank.","Claim: Govt. Of India has decided to amalgamate Baroda Uttar Pradesh Bank, Aryavart Bank & Prathama Uttar Pradesh Gramin Bank into a single Regional Rural Bank named Baroda U.P. Bank  #PIBFactCheck  - This Notification is #FAKE  - No such decision has been made by  @FinMinIndia","4 THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(ii)] MINISTRY OF FINANCE (Department of Financial Services) NOTIFICATION New Delhi, the 17th July, 2023 S.O. 4268(E).—Whereas the Central Government, after consultation with the National Bank for Agriculture and Rural Development (NABARD), Government of Uttar Pradesh and the Bank of Baroda, Bank of India and Punjab National Bank, being the Sponsor Banks of Baroda Uttar Pradesh Bank, Aryavart Bank and Prathama Uttar Pradesh Gramin Bank, is of the opinion that it is necessary in the public interest and in the interest of the development of the area served by the aforesaid Regional Rural Banks and also in the interest of the said Regional Rural Banks themselves, that the said Regional Rural Banks should be amalgamated into a single Regional Rural Bank; Now, therefore, in exercise of the powers conferred by sub-section (1) of section 23A of the Regional Rural Banks Act, 1976 (21 of 1976) (hereinafter referred to as “the Act”), the Central Government hereby provides for the amalgamation of the said Regional Rural Banks into a single Regional Rural Bank which shall come into effect on and from the first day of April, 2024 (hereinafter referred to as the “effective date of amalgamation”) with such constitution, property, powers, rights, interests, authorities and privileges; and with such liabilities, duties and obligations as specified hereunder:— 1. Baroda Uttar Pradesh Bank, Aryavart Bank and Prathama Uttar Pradesh Gramin Bank (hereinafter referred to as “the transferor Regional Rural Banks”) sponsored by the Bank of Baroda, Bank of India and Punjab National Bank in the State of Uttar Pradesh are hereby amalgamated into a single Regional Rural Bank which shall be called as Baroda U.P. Bank (hereinafter referred to as “the transferee Regional Rural Bank”) with its head office at Gorakhpur under the sponsorship of Bank of Baroda. 2. The authorized capital of the transferee Regional Rural Bank shall be rupees two thousand crore and the issued and paid-up capital shall be rupees one hundred crore number of fully paid shares of rupees ten each. The subscribed share capital of the transferor Regional Rural Bank shall be equal to the subscribed share capital of the transferor Regional Rural Banks and, therefore, the entire subscribed share capital of the transferor Regional Rural Banks shall be deemed to have been transferred to and shall be deemed as subscribed share capital of the transferee Regional Rural Bank.",https://pbs.twimg.com/media/F1PmJiSaYAAM_9W?format=jpg&name=small
