Institution,Scam_Vector,Misinfo_Type,Core_Claim,Original_Tweet,Tweet_URL,Image_Text,Image_URL
RBI,Email,Fake Scheme,"An email impersonating RBI claims to offer a large sum of money (4 Crore 75 Lakhs) as a beneficiary payment, likely requiring an upfront fee.","An e-mail allegedly sent by RBI claims to offer ₹4 crores 62 lakhs on payment of ₹12,500.  #PIBFactCheck:   This e-mail is #Fake   @RBI  does not send emails asking for personal information  Read here:  https:// rbi.org.in/commonman/Engl ish/Scripts/PressReleases.aspx?Id=2440 …",https://x.com/PIBFactCheck/status/1696470667070513215,"भारतीय रिज़र्व बैंक Reserve Bank of India India's Central Bank FOREIGN REMITTANCE DEPARTMENT ONLINE BANKING UNIT 6, SANSAND MARG,-110001 New Delhi, India. IMMEDIATE PAYMENT NOTIFICATIONS Our ref: Cub/Hog/Oxd1/2022 Payment file: RBI/Id1033/2017/2022 Payment amount: 4.CRORE, 75 LAKHS = 500,000 GBPS RESERVE BANK OF INDIA OFFI Dear Beneficiary: The Foreign Exchange Transfer Department (RBI) hereby inform you were listed as a beneficiary in the schedule GOVERNMENT, which is yet up-till now due to According to your file record your payme The Reserve Bank of India (RBI) authorized Tax Committee on Finance meeting (RBI) Governor Shaktikanta Das made all practice to withhold funds or government basket inform you that (4 CRORE, 75 LAKHS INDIA",https://pbs.twimg.com/media/F4sSfyMbUAA8eY8?format=png&name=small
India Post Payments Bank,SMS,Account Block,The customer's India Post Payments bank account will be blocked within 24 hours if their Pan card is not updated.,Claim: The customer's India Post Payments bank account will be blocked within 24 hours if their Pan card is not updated.  #PIBFactCheck   This claim is #Fake.   @IndiaPostOffice  never sends any such messages.   Never share your personal & bank details with anyone.,https://x.com/PIBFactCheck/status/1706260276642005407,"IndiaPost Payment Bank KYC login surl.li Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link-http://surl.li/iccpf India Post Payments Bank Aapka bank, aapke dwar. CONTINUE TO PAN U Account Number Enter Your Account Number Customer ID (CIF Number) Enter Your Customer ID (CIF Number)",https://pbs.twimg.com/media/F63ZICBaUAA15jE?format=jpg&name=small
Government,SMS,Loan Fraud,"A message claims that a loan of Rs. 20,55,000 under the Mudra Yojana 2023 is ready to be sanctioned, requiring users to verify their mobile number and check eligibility via a suspicious link.","A viral message circulating on social media claims to offer a loan of ₹20,55,000 under the ""PM Mudra Yojana”    #PIBFactCheck:     This message is #Fake   Never click on any such suspicious links    Do not respond to emails/SMS asking to share your banking/personal details",https://x.com/PIBFactCheck/status/1711346151818207639,"Mudra Yojana 2023 - Rs.20,55,000 is ready to sanctioned - Verify your mobile number and check Loan eligibility in minutes! http://epq9.com/PPQNHAKHYLNNNL",https://pbs.twimg.com/media/F7_rq8saQAAq-Iz?format=jpg&name=small
RBI,Other,Bank License Cancellation,"The Reserve Bank of India (RBI) has cancelled the license of Abhyudaya Co-operative Bank Ltd., Mumbai, effective October 26, 2023.","A Press Release, dated 25 October 2023, being shared online, alleges that  @RBI  has canceled the license of Abhyudaya Co-operative Bank Ltd.  #PIBFactCheck  This Press Release is fake  RBI has not issued any such Press release  For more info visit:  http:// rbi.org.in",https://x.com/PIBFactCheck/status/1717768824010027014,"प्रेस प्रकाशनी PRESS RELEASEभारतीय रिज़र्व बैंकRESERVE BANK OF INDIABank Website : www.rbi.org.inई-मेल/email : helpdoc@rbi.org.in75 Azadi Ka Amrit Mahotsavसंचार विभाग, केंद्रीय कार्यालय, शहीद भगत सिंह मार्ग,Department of Communication, Central Office, Shahid Bhagat Singh Marg,Fort, Mumbai - 400 001 फोन/Phone 022 - 2266 0502October 25, 2023RBI cancels the licence of Abhyudaya Co-operative Bank Ltd., MumbaiThe Reserve Bank of India (RBI), vide order dated October 25, 2023, has cancelled the licence of Abhyudaya Co-operative Bank Ltd., Mumbai. Consequently, the bank ceases to carry on banking business, with effect from the close of business on October 26, 2023. The Commissioner and Registrar of Cooperative, Maharashtra has also been requested to issue an order for winding up the bank and appoint a liquidator for the bank.RBI cancelled the licence of the bank as:i) The bank does not have adequate capital and earning prospects. As such, it does not comply with the provisions of Section 11(1) and Section 22 (3) (d) read with Section 56 of the Banking Regulation Act, 1949.ii) The bank has failed to comply with the requirements of Sections 22(3) (a), 22 (3) (b), 22(3)(c), 22(3)(d) and 22(3)(e) read with Section 56 of the Banking Regulation Act, 1949.iii) The continuance of the bank is prejudicial to the interests of its depositors;iv) The bank with its present financial position would be unable to pay its present depositors in full; andv) Public interest would be adversely affected if the bank is allowed to carry on its banking business any further.2. Consequent to the cancellation of its licence, Abhyudaya Co-operative Bank Ltd. is prohibited from conducting the business of 'banking' which includes, among other things, acceptance of deposits and repayment of deposits as defined in Section 5(b) read with Section 56 of the Banking Regulation Act, 1949 with immediate effect.3. On liquidation, every depositor would not be entitled to receive deposit insurance claim amount of his/her deposits from Deposit Insurance and Credit Guarantee Corporation (DICGC) that is non-payment of premium. As per the data submitted by the bank, 99.92% of the depositors are not entitled to receive full amount of their deposits from DICGC.Press Release: 2023-2024/1020(Yogesh Dayal)Chief General Manager",https://pbs.twimg.com/media/F9a9GsXa8AACaIl?format=jpg&name=small
Reserve Bank of India,Other,Fake Scheme,"A receipt allegedly issued by the Reserve Bank of India claims a payment of ₹57,200 was made for a foreign exchange conversion fee.","A receipt allegedly issued by the Reserve Bank of India for payment of ₹57,200 as Foreign Exchange Conversion Fee is doing the rounds on social media  #PIBFactCheck:  This receipt is #Fake   @RBI  does not issue any such receipts   https:// rbi.org.in/commonman/Engl ish/Scripts/PressReleases.aspx?Id=2440 …",https://x.com/PIBFactCheck/status/1708389806680789491,"भारतीय रिज़र्व बैंक Reserve Bank of India India's Central Bank Receipt No: 0319-0018020 Receipt No: 0319-0018020 RESERVE BANK OF INDIA COLLECTOR'S RECEIPT Station NEW DELHI Date 27-09-2023 Received from MS. KOKILA. A The sum of RS 57,200.00 (RUPEES FIFTY SEVEN THOUSAND TWO HUNDRED ONLY Being (description of payment) *FOREIGN EXCHANGE/CONVERSION FEE Balance * NIL *If space is insufficient further particulars must be inserted on the back of Receipt ₹57,200 00 Signature of Cashier RESERVE BANK OF INDIA New Delhi 27-09-2023 12:27:31 Reserve Bank Of India 0319-0019020",https://pbs.twimg.com/media/F7VrGnIbIAAyzSi?format=jpg&name=small
India Post Payments Bank,SMS,Account Block,The customer's India Post Payments bank account will be blocked if their PAN card is not updated.,Claim: The customer's India Post Payments bank account will be blocked within 24 hours if their Pan card is not updated.  #PIBFactCheck  This claim is #Fake.   @IndiaPostOffice  never sends any such messages.  Never share your personal & bank details with anyone.,https://x.com/PIBFactCheck/status/1724369853417689419,"Today 4:00 PM IndiaPost Payment Bank KYC login surl.li Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link-http://surl.li/iccpf India Post Payments Bank Aapka bank, aapke dwar. CONTINUE TO PAN U Account Number Enter Your Account Number Customer ID (CIF Number) Enter Your Customer ID (CIF Number)",https://pbs.twimg.com/media/F-4wzbXaQAAGRIb?format=png&name=small
India Post,Website,Fake Scheme,India Post is conducting a Diwali gift lucky draw where participants can win an iPhone 15 by completing a questionnaire and providing personal information.,A bogus lucky draw allegedly from  @IndiaPostOffice  is luring people into providing their personal information with the promise of winning an iPhone 15.  #PIBFactCheck  It is a #Scam & is not related to India Post  Be cautious! Refrain from clicking on such suspicious links,https://x.com/PIBFactCheck/status/1720346816951284181,"Congratulations! You have a chance to win a gift. Please click the ""Claim Gift"" button to continue. Claim Gift. India Post - Diwali gift 14 May, 2021. Congratulations! India Post - Diwali gift Through this questionnaire, you will have a chance to win an Apple iPhone 15. Question 1 of 4 : Do you know India Post? yes no. भारतीय डाक",https://pbs.twimg.com/media/F9_lvu2bMAAtsif?format=jpg&name=small
"BSNL, TRAI",WhatsApp,Account Block,A notice falsely claims that the customer's SIM KYC has been suspended by TRAI and their SIM card will be blocked within 24 hours.,People have received notices from BSNL claiming:   Customer's KYC has been suspended by  @TRAI    Sim cards will get blocked within 24 hrs  #PIBFactCheck   These claims are #Fake  BSNL never sends any such notices  Never share your personal & bank details with anyone,https://x.com/PIBFactCheck/status/1721469968104177914,"AN ISO 9001:2008 CERTIFICATES TELECOM COMPANY NOTICE Dear Customer, Your Sim KYC has been suspended by Telecom Regulatory Authority of India. Your Sim card will be blocked within 24 hours. Call Immediately KYC VERIFICATION EXECUTIVE NAME:- ABHINASH SHARMA CALL: 8961216971 Note:- CONTACT THE SERVICE PROVIDER IMMEDIATELY BEFORE SIM CARD WILL BE BLOCKED Yours Truly Dev Anan Govn. of India Customer Support Ministry of Communication GOVERNMENT OF INDIA",https://pbs.twimg.com/media/F-PjOYLagAAGBjf?format=jpg&name=small
Unknown,Website,Fake Scheme,"It is claimed that the Prime Minister has made a big announcement of depositing Rs. 25,000 to the bank accounts of women, the poor, the unemployed, farmers and AADHAAR card holders, and that half of them have already received the money.","It is claimed that the Prime Minister has made a big announcement of depositing Rs. 25,000 to the bank accounts of women, the poor, the unemployed, farmers and AADHAAR card holders, and that half of them have already received the money  #PIBFactCheck  This claim is Fake",https://x.com/PIBFactCheck/status/1730469665129021454,आज के सभी मुख्य समाचार 20 अक्टूबर 2023 राशन बैंक खाते ₹50001 Aaj ke mukhya samacha aaj ka taaja khabar | 1 Day Breaking news... 2.3K views • 8 hours ago Aapke Guruji @aapke guruji3379 • 3.47M subscribers • 87 videos Business Email: > Subscribe,https://pbs.twimg.com/media/GALZ6_1acAAsyn9?format=jpg&name=small
Indian Government,Website,Fake Scheme,"A video claims that the government will provide 9,000 rupees to women, farmers, labourers, and the unemployed under a new Union Budget for Diwali.","In a video, it has been claimed that a new Union Budget has been prepared on the occasion of Diwali, under which women, farmers, labourers and unemployed, among others, will get 9,000 rupees from the Government.  #PIBFactCheck   This claim is Fake",https://x.com/PIBFactCheck/status/1730469696757973042,आज 06 नवंबर 2023 से ई-श्रम भयंकर ऐलान 15 बड़ी खबरें दिवाली तोफ 9 हजार Aaj ke mukhya samachar 6 Nov aaj ka taaja khabar | Today's breaking news 50K views • 1 day ago Aapke Guruji @aapkeguruji3379 • 3.47M subscribers • 87 videos Business Email :- Subscribe आज की ताज़ा खबरें,https://pbs.twimg.com/media/GAMGzW6XkAAZNMZ?format=jpg&name=small
Indian Government,Website,Fake Scheme,"The Modi government has launched 5 new schemes for farmers, promising ₹37,000, and will deposit ₹6,000 into everyone's bank accounts.","It is claimed in a video that everyone will get 6,000 rupees in their bank account.  #PIBFactCheck   This claim is Fake",https://x.com/PIBFactCheck/status/1730469676264939740,13 सितंबर 2023 भयंकर ऐलान 3 चीजें बंद बैंक खाता में ₹6000 किसानों के लिए मोदी सरकार ने शुरू की 5 नई स्कीमें मिलेंगे 37-37 हजार रु. 13 सितंबर 2023 के मुख्य समाचार Taza Khabre ! Today breaking news Aapke Guruji,https://pbs.twimg.com/media/GAMFDvnXAAAbrHw?format=jpg&name=small
RBI,WhatsApp,Fake Currency,₹500 notes with a star symbol are fake and should not be accepted.,Do you have a ₹500 note with a star symbol (*)  Are you worried it's fake  Fret no more  #PIBFactCheck  The message deeming such notes as fake is false!  Star marked(*)₹500 banknotes have been in circulation since December 2016   https:// rbi.org.in/commonman/Engl ish/scripts/PressReleases.aspx?Id=2015 …,https://x.com/PIBFactCheck/status/1732709365256462515,"Forwarded many times भारतीय रिज़र्व बैंक पाँच सौ रुपये RESERVE BANK OF INDIA 1AB*380187 ₹500 500 notes marked with * have started circulating in the market. Such note was returned from IndusInd Bank. This is a fake note. Even today received 2-3 such notes from a customer, but returned it immedi due attention. The customer also sai at this note was given by someone in the morn careful, there has been an increse number of people walking around w fake notes in the market.",https://pbs.twimg.com/media/GAvRfolaUAA0Wg0?format=jpg&name=small
Government of India,Website,Fake Scheme,"The Prime Minister has announced during his address on Diwali that 25,000 rupees will be transferred to the bank accounts of women, the poor, unemployed, labourers and AADHAAR card holders.","In the video, it is claimed that the Prime Minister has announced during his address on Diwali that 25,000 rupees will be transferred to the bank accounts of women, the poor, unemployed, labourers and  AADHAAR card holders  #PIBFactCheck  This claim is Fake",https://x.com/PIBFactCheck/status/1730469690982670358,02 नवंबर 2023 से मुर्गा खाना बंद पूरे भारत में ये 7 चीजें बंद Aaj ke mukhya samachar | 2 N... aaj ka taaja khabar | Toda Bre... 88K views • 2 days ago Aapke Guruji @aapkeguruji3379 3.47M subscribers • 87 videos Business Email :- आज की ताजा खबरें,https://pbs.twimg.com/media/GALcJEsa8AA8FS8?format=jpg&name=small
PM Mudra Yojana / Ministry of Finance,Other,Loan Fraud,"A letter falsely claims to approve a loan of ₹5,00,000 under PM Mudra Yojana, requiring an upfront payment of ₹2,100 as a file agreement charge.","A #Fake approval letter claims to grant a loan of ₹5,00,000 under PM Mudra Yojana on payment of ₹2,100  #PIBFactCheck   @FinMinIndia  has not issued this letter  Refinancing Agency - MUDRA doesn't lend directly to micro-entrepreneurs/individuals   http:// mudra.org.in/FAQ",https://x.com/PIBFactCheck/status/1740683431561056367,"प्रधान मंत्री मुद्रा योजना Ministry of Finance Government of India SUBJECT:-APROVEL OF LOAN Dear sir MR/MRS:- We very glad to inform you that in resp order to meet your tight financial problems, wr your request quested a Long-term loan of 500,000. You war to m our expens- bank has decided to approve your application loan 5 000. The interest rate that you will hav o pay c been calculated with the help of st dard f rate of 4%. We hope that this inter As discussed earlier, you will ve to pay the la ck years. To ver, the interest rate may change dep ing on the dura you choose will ha to make the subsequent payme on the 1st of month. Please review the terms and con loan agreem The terms have been completely outline n the p sory note. ed sign agreement papers. Please make a payment of 2100Rs. File Agreement Charge (incl. of all taxes.) We have attached several related documents with this letter that are favorable for you Please review the form thoroughly and return us so that the processing of loan can be done. Sincerely, P.M. MUDRA FINANCE FINANCIAL DEPARTMENT SACHIVALAY ARERA HILLS BHOPAL M.P. 462027 INDIA",https://pbs.twimg.com/media/GCgkpWVboAArIk3?format=jpg&name=small
